Size,
31,
40,
39,
39,
0,
45,
0,
45,
0,
46,
0,
78,
1346,
49,
0,
64,
0,
40,
0,
679,
0,
0,
103,
0,
96,
0,
101,
0,
98,
0,
97,
0,
97,
0,
95,
0,
97,
0,
96,
0,
98,
0,
96,
0,
97,
0,
98,
0,
46,
0,
1346,
181,
0,
40,
40,
0,
0,
35,
0,
46,
0,
75,
0,
78,
95,
0,
538,
37,
1346,
837,
0,
37,
0,
0,
0,
73,
0,
1346,
4,
0,
1346,
4,
0,
1346,
4,
0,
1346,
0,
1346,
1346,
0,
824,
0,
538,
1346,
497,
0,
96,
0,
31,
0,
55,
0,
269,
0,
0,
0,
64,
0,
40,
0,
46,
0,
75,
0,
98,
0,
78,
0,
1108,
0,
101,
0,
95,
0,
99,
0,
98,
0,
92,
0,
96,
0,
94,
0,
95,
0,
96,
0,
97,
0,
98,
0,
158,
0,
87,
0,
88,
0,
94,
0,
1188,
1188,
959,
37,
40,
0,
37,
0,
0,
561,
0,
290,
0,
35,
0,
590,
53,
68,
0,
0,
1346,
369,
0,
1346,
1346,
0,
118,
0,
0,
0,
826,
0,
0,
1346,
488,
1346,
489,
0,
0,
74,
0,
0,
1346,
545,
0,
325,
0,
1346,
546,
0,
1346,
1346,
0,
1140,
0,
0,
290,
0,
198,
234,
0,
826,
0,
661,
0,
0,
655,
1346,
405,
52,
68,
0,
0,
0,
0,
0,
0,
1346,
1346,
0,
914,
0,
549,
0,
1346,
1346,
0,
289,
0,
533,
741,
0,
980,
842,
0,
1346,
524,
1346,
525,
0,
0,
0,
0,
0,
0,
0,
215,
826,
0,
161,
0,
75,
1346,
1264,
0,
0,
1346,
463,
0,
0,
661,
0,
0,
0,
0,
0,
826,
672,
1346,
413,
52,
0,
68,
0,
0,
0,
38,
0,
661,
0,
413,
0,
1346,
1346,
0,
76,
0,
1346,
1346,
533,
0,
532,
0,
0,
1346,
323,
0,
810,
1346,
465,
0,
0,
661,
0,
1346,
1346,
1346,
0,
1346,
1346,
224,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
668,
1346,
482,
51,
0,
68,
0,
0,
1346,
1346,
0,
1283,
0,
373,
0,
1346,
525,
810,
0,
1346,
1264,
0,
0,
773,
0,
201,
0,
426,
1346,
1346,
118,
0,
0,
0,
0,
517,
0,
673,
1346,
413,
52,
0,
68,
0,
0,
1346,
1346,
0,
511,
0,
1346,
532,
1346,
533,
0,
0,
1346,
462,
0,
1346,
809,
0,
696,
1346,
429,
52,
68,
0,
0,
0,
1346,
1346,
0,
99,
0,
1346,
548,
1346,
549,
0,
0,
1346,
460,
0,
1346,
329,
0,
0,
0,
0,
0,
1062,
37,
1346,
1346,
193,
0,
1346,
0,
0,
1346,
0,
0,
1346,
1346,
210,
37,
0,
0,
0,
0,
0,
0,
719,
1346,
437,
52,
0,
68,
0,
0,
1346,
204,
0,
840,
43,
33,
0,
0,
0,
0,
0,
1346,
1346,
0,
121,
0,
1346,
556,
1346,
557,
0,
0,
1346,
462,
0,
1346,
335,
0,
737,
1346,
453,
52,
68,
0,
0,
0,
1346,
1346,
0,
152,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
1346,
572,
1346,
573,
0,
1,
0,
0,
0,
1,
1346,
462,
0,
1346,
346,
0,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
768,
1346,
489,
53,
68,
0,
0,
0,
1,
0,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
1346,
0,
1,
0,
0,
1,
1188,
1188,
955,
37,
0,
1,
0,
1346,
1346,
0,
1001,
37,
0,
0,
1346,
608,
1346,
609,
0,
1,
0,
0,
0,
62,
0,
290,
0,
1346,
463,
0,
0,
1,
1346,
1246,
0,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
0,
1,
538,
37,
1346,
885,
0,
0,
37,
0,
56,
0,
807,
1358,
1358,
504,
1346,
519,
52,
0,
68,
0,
0,
1,
0,
0,
0,
0,
0,
1,
69,
0,
1346,
4,
0,
1346,
4,
1346,
4,
0,
0,
1346,
4,
0,
1346,
1346,
0,
789,
0,
538,
1346,
1200,
0,
0,
1,
1346,
1346,
0,
148,
0,
60,
56,
0,
0,
0,
1,
0,
53,
0,
269,
0,
1346,
637,
0,
1346,
394,
0,
28,
46,
0,
0,
36,
1346,
609,
0,
1346,
1246,
0,
952,
0,
501,
0,
1346,
1346,
0,
177,
0,
0,
0,
805,
1346,
519,
52,
0,
68,
0,
0,
1346,
1346,
0,
147,
0,
1346,
637,
0,
1346,
410,
0,
1346,
609,
0,
1346,
1246,
0,
0,
806,
1346,
525,
52,
0,
68,
0,
0,
1346,
1346,
0,
145,
0,
378,
378,
1346,
645,
0,
1346,
394,
0,
0,
0,
1346,
538,
0,
1346,
39,
0,
1346,
528,
0,
1345,
0,
0,
0,
168,
0,
0,
0,
889,
56,
0,
0,
201,
0,
0,
69,
0,
0,
0,
74,
0,
1346,
1346,
0,
1140,
